,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0,0.002,3.598827,2.986641,0.458709149,0.135740463
1,0.004,3.577729,2.974955,0.4606567,0.27012137
2,0.006,3.578703,2.963595,0.462928842,0.401256407
3,0.008,3.560525,2.951585,0.463253434,0.527522615
4,0.01,3.544295,2.938276,0.463253434,0.648270804
5,0.012,3.542023,2.925292,0.464876393,0.75863209
6,0.014,3.527416,2.913607,0.466823944,0.858606463
7,0.016,3.527416,2.901597,0.466823944,0.947220137
8,0.018,3.507292,2.890561,0.467148536,1.022526
9,0.02,3.50859,2.881148,0.468446903,1.082251
10,0.022,3.505344,2.872383,0.470069862,1.127044
11,0.024,3.493009,2.864269,0.470069862,1.155284
12,0.026,3.484245,2.857777,0.469420678,1.167294
13,0.028,3.487816,2.853882,0.469420678,1.161776
14,0.03,3.494957,2.850311,0.471043637,1.140677
15,0.032,3.486842,2.849013,0.471043637,1.101726
16,0.034,3.497229,2.851285,0.469420678,1.047195
17,0.036,3.493983,2.853232,0.468446903,0.978380996
18,0.038,3.509239,2.856478,0.46974527,0.894960788
19,0.04,3.514108,2.861672,0.46974527,0.798232325
20,0.042,3.518328,2.869462,0.467797719,0.692090722
21,0.044,3.526118,2.875954,0.466499352,0.575562212
22,0.046,3.530987,2.885692,0.466823944,0.451243538
23,0.048,3.541049,2.894456,0.466823944,0.321731441
24,0.05,3.542672,2.904843,0.464551801,0.188973473
25,0.052,3.550787,2.915879,0.462928842,0.05361882
26,0.054,3.554358,2.92724,0.462604251,-0.080437421
27,0.056,3.556955,2.939899,0.462279659,-0.210923115
28,0.058,3.559876,2.952558,0.4606567,-0.336215312
29,0.06,3.583247,2.964893,0.459033741,-0.455989425
30,0.062,3.585519,2.976254,0.458384557,-0.566025778
31,0.064,3.595906,2.988913,0.458384557,-0.665350605
32,0.066,3.599801,3.000598,0.457735374,-0.753639324
33,0.068,3.623497,3.011635,0.455787823,-0.827970624
34,0.07,3.629989,3.021372,0.45513864,-0.888019919
35,0.072,3.628366,3.028514,0.455787823,-0.932164261
36,0.074,3.634208,3.034681,0.455787823,-0.960079064
37,0.076,3.631612,3.040524,0.453515681,-0.972088921
38,0.078,3.629339,3.045068,0.452866497,-0.966895469
39,0.08,3.635507,3.047989,0.454814048,-0.9448233
40,0.082,3.623821,3.048314,0.454814048,-0.907170774
41,0.084,3.619602,3.048314,0.453840272,-0.852964115
42,0.086,3.625444,3.045717,0.453840272,-0.783177091
43,0.088,3.617979,3.042147,0.45513864,-0.701055604
44,0.09,3.610513,3.037602,0.456112415,-0.605301284
45,0.092,3.608565,3.03111,0.455787823,-0.499484623
46,0.094,3.611487,3.024618,0.455463231,-0.383930206
47,0.096,3.605644,3.016828,0.45708619,-0.259611797
48,0.098,3.590388,3.005792,0.459033741,-0.130749074
49,0.1,3.590063,2.997028,0.459033741,0.001684194
50,0.102,3.586817,2.985992,0.459033741,0.135740463
51,0.104,3.578703,2.974631,0.460981292,0.269472186
52,0.106,3.574807,2.96327,0.462928842,0.401256407
53,0.108,3.557928,2.950611,0.463578026,0.527522615
54,0.11,3.557279,2.938925,0.463253434,0.64762162
55,0.112,3.542023,2.925942,0.464876393,0.758307498
56,0.114,3.531961,2.912958,0.466823944,0.858606463
57,0.116,3.519951,2.902246,0.467473128,0.947869322
58,0.118,3.518328,2.89121,0.466499352,1.022201
59,0.12,3.506967,2.880823,0.468122311,1.081926
60,0.122,3.502098,2.871734,0.46974527,1.127044
61,0.124,3.492685,2.865242,0.46974527,1.155608
62,0.126,3.497554,2.858426,0.469420678,1.166969
63,0.128,3.497229,2.853882,0.469096087,1.1621
64,0.13,3.48814,2.851285,0.470719046,1.140028
65,0.132,3.494632,2.849986,0.470719046,1.101401
66,0.134,3.49658,2.85096,0.46974527,1.047519
67,0.136,3.503721,2.852908,0.469096087,0.978380996
68,0.138,3.511187,2.856803,0.46974527,0.894636196
69,0.14,3.510537,2.861996,0.46974527,0.798556917
70,0.142,3.511511,2.868164,0.467797719,0.69176613
71,0.144,3.525144,2.875954,0.46617476,0.575562212
72,0.146,3.531961,2.885692,0.466499352,0.451243538
73,0.148,3.535207,2.895105,0.466499352,0.322056032
74,0.15,3.541049,2.905492,0.46422721,0.188973473
75,0.152,3.547866,2.916204,0.462279659,0.053943412
76,0.154,3.554682,2.926915,0.462604251,-0.08011283
77,0.156,3.567017,2.938925,0.462604251,-0.210598524
78,0.158,3.578378,2.952558,0.4606567,-0.336539903
79,0.16,3.573184,2.964893,0.458709149,-0.455664834
80,0.162,3.576755,2.977877,0.458384557,-0.566025778
81,0.164,3.599477,2.990211,0.458709149,-0.665350605
82,0.166,3.614408,3.000598,0.45708619,-0.753639324
83,0.168,3.622848,3.010661,0.455463231,-0.827970624
84,0.17,3.612785,3.020399,0.454814048,-0.887370737
85,0.172,3.633559,3.029163,0.455463231,-0.931839671
86,0.174,3.641025,3.035979,0.45513864,-0.960728246
87,0.176,3.639402,3.041173,0.453515681,-0.97176433
88,0.178,3.62869,3.045392,0.452866497,-0.966570879
89,0.18,3.634533,3.047989,0.454164864,-0.9448233
90,0.182,3.636156,3.048963,0.45513864,-0.906846183
91,0.184,3.629989,3.047015,0.454164864,-0.853288706
92,0.186,3.625444,3.045068,0.453515681,-0.784150863
93,0.188,3.605644,3.041497,0.45513864,-0.700731013
94,0.19,3.618628,3.036953,0.456437007,-0.605301284
95,0.192,3.607592,3.030786,0.455787823,-0.498835441
96,0.194,3.60889,3.023969,0.455463231,-0.383605615
97,0.196,3.587467,3.015205,0.457735374,-0.260260979
98,0.198,3.585844,3.00709,0.459033741,-0.131398257
99,0.2,3.594283,2.997677,0.459033741,0.001359602
100,0.202,3.58487,2.986641,0.459033741,0.136065054
101,0.204,3.58844,2.975929,0.4606567,0.269796778
102,0.206,3.571886,2.96327,0.462928842,0.401256407
103,0.208,3.570263,2.95126,0.463578026,0.527522615
104,0.21,3.551761,2.938925,0.463253434,0.647297028
105,0.212,3.545918,2.926266,0.464876393,0.758307498
106,0.214,3.538128,2.914256,0.466823944,0.858606463
107,0.216,3.518652,2.902571,0.467148536,0.947220137
108,0.218,3.514108,2.892184,0.466823944,1.021876
109,0.22,3.505019,2.881797,0.468446903,1.082251
110,0.222,3.505993,2.872383,0.470069862,1.127369
111,0.224,3.510213,2.864918,0.470069862,1.154959
112,0.226,3.484245,2.859075,0.469096087,1.167294
113,0.228,3.493983,2.854855,0.468771495,1.1621
114,0.23,3.492036,2.851934,0.470719046,1.139703
115,0.232,3.490088,2.850636,0.470394454,1.101401
116,0.234,3.484894,2.850311,0.469096087,1.047519
117,0.236,3.500475,2.853882,0.468771495,0.978380996
118,0.238,3.50437,2.857452,0.46974527,0.894960788
119,0.24,3.517354,2.861672,0.46974527,0.798556917
120,0.242,3.520275,2.867839,0.467797719,0.69176613
121,0.244,3.522223,2.875954,0.466499352,0.575562212
122,0.246,3.526443,2.884718,0.466823944,0.45156813
123,0.248,3.527416,2.894456,0.466499352,0.322705216
124,0.25,3.537154,2.904518,0.464551801,0.188648882
125,0.252,3.549164,2.91523,0.462928842,0.053943412
126,0.254,3.563447,2.928214,0.462604251,-0.08011283
127,0.256,3.562797,2.940548,0.462928842,-0.210598524
128,0.258,3.571561,2.952558,0.460981292,-0.336864494
129,0.26,3.57643,2.964244,0.458709149,-0.455664834
130,0.262,3.591686,2.976903,0.458709149,-0.565376596
131,0.264,3.605969,2.989562,0.458709149,-0.665999787
132,0.266,3.606618,3.000274,0.45708619,-0.753314733
133,0.268,3.613759,3.010661,0.45513864,-0.827646033
134,0.27,3.615382,3.020399,0.45513864,-0.88834451
135,0.272,3.62512,3.029487,0.455787823,-0.932164261
136,0.274,3.627392,3.036628,0.45513864,-0.960728246
137,0.276,3.631612,3.042147,0.453515681,-0.972088921
138,0.278,3.63713,3.045717,0.452866497,-0.967544651
139,0.28,3.633884,3.049288,0.454814048,-0.945147891
140,0.282,3.633235,3.048638,0.454814048,-0.907170774
141,0.284,3.622848,3.048314,0.453840272,-0.853288706
142,0.286,3.622523,3.046042,0.453840272,-0.783826273
143,0.288,3.614408,3.041173,0.45513864,-0.700406422
144,0.29,3.614733,3.036953,0.455787823,-0.605950466
145,0.292,3.602398,3.030786,0.455787823,-0.499160032
146,0.294,3.606618,3.023645,0.455787823,-0.383930206
147,0.296,3.593959,3.014881,0.457410782,-0.260260979
148,0.298,3.595906,3.006441,0.459033741,-0.131398257
149,0.3,3.601424,2.996054,0.459033741,0.001359602
150,0.302,3.597205,2.985992,0.458709149,0.135740463
151,0.304,3.583896,2.974631,0.460981292,0.269472186
152,0.306,3.570912,2.962621,0.462928842,0.401256407
153,0.308,3.567342,2.951585,0.462928842,0.526873431
154,0.31,3.558253,2.93925,0.463253434,0.647297028
155,0.312,3.55241,2.926591,0.464551801,0.758956682
156,0.314,3.538777,2.912958,0.467148536,0.858931055
157,0.316,3.519951,2.901597,0.467473128,0.946570953
158,0.318,3.525469,2.891535,0.466823944,1.022526
159,0.32,3.50859,2.881797,0.468446903,1.082251
160,0.322,3.507616,2.873033,0.46974527,1.12672
161,0.324,3.499177,2.863944,0.470069862,1.155284
162,0.326,3.497878,2.858426,0.46974527,1.167294
163,0.328,3.49658,2.854531,0.468771495,1.161776
164,0.33,3.492685,2.85096,0.471043637,1.139703
165,0.332,3.498527,2.850311,0.471043637,1.102051
166,0.334,3.493009,2.850311,0.46974527,1.047519
167,0.336,3.50015,2.852583,0.468771495,0.978056403
168,0.338,3.51281,2.856803,0.469096087,0.894960788
169,0.34,3.505344,2.861347,0.469420678,0.799206101
170,0.342,3.523197,2.867839,0.467797719,0.691441538
171,0.344,3.518003,2.874656,0.46617476,0.575886804
172,0.346,3.530987,2.884718,0.46617476,0.451892722
173,0.348,3.528715,2.89478,0.466499352,0.322380624
174,0.35,3.5404,2.905492,0.464551801,0.188648882
175,0.352,3.549489,2.916528,0.462279659,0.05361882
176,0.354,3.569938,2.928214,0.462279659,-0.08011283
177,0.356,3.56085,2.940548,0.462279659,-0.210923115
178,0.358,3.567017,2.952883,0.4606567,-0.336539903
179,0.36,3.57708,2.965218,0.458709149,-0.455340243
180,0.362,3.595257,2.978201,0.458059966,-0.565701187
181,0.364,3.58909,2.989562,0.458709149,-0.665350605
182,0.366,3.610513,3.000274,0.457410782,-0.753639324
183,0.368,3.628041,3.011959,0.45513864,-0.828295214
184,0.37,3.626743,3.020074,0.455463231,-0.888019919
185,0.372,3.627392,3.029163,0.455463231,-0.932164261
186,0.374,3.629989,3.036953,0.45513864,-0.960403655
187,0.376,3.630638,3.041497,0.453515681,-0.972088921
188,0.378,3.634533,3.045392,0.452866497,-0.967544651
189,0.38,3.625769,3.047989,0.454814048,-0.945147891
190,0.382,3.643622,3.049937,0.454489456,-0.906846183
191,0.384,3.639077,3.048638,0.453840272,-0.852639524
192,0.386,3.617005,3.045392,0.453840272,-0.783826273
193,0.388,3.618303,3.042471,0.454814048,-0.701380195
194,0.39,3.6209,3.038251,0.456761598,-0.605625875
195,0.392,3.61311,3.031759,0.456112415,-0.499484623
196,0.394,3.603047,3.023969,0.455787823,-0.383930206
197,0.396,3.595582,3.01553,0.457410782,-0.260260979
198,0.398,3.595582,3.007739,0.459033741,-0.131398257
199,0.4,3.579027,2.996379,0.458709149,0.001035011
